color,title_year,movie_title,movie_facebook_likes,duration,director_name,director_facebook_likes,actor_1_name,actor_1_facebook_likes,actor_2_name,actor_2_facebook_likes,actor_3_name,actor_3_facebook_likes,cast_total_facebook_likes,gross,genres,num_voted_users,num_critic_for_reviews,facenumber_in_poster,plot_keywords,num_user_for_reviews,language,country,content_rating,budget,aspect_ratio,imdb_score
 Black and White,1916,Intolerance: Love's Struggle Throughout the Ages??,691,123,D.W. Griffith,204,Lillian Gish,436,Mae Marsh,22,Walter Long,9,481,,Drama|History|War,10718,69,1,huguenot|intolerance|medicis|protestant|wedding,88,,USA,Not Rated,385907,1.33,8
 Black and White,1920,Over the Hill to the Poorhouse??,0,110,Harry F. Millarde,0,Stephen Carr,2,Johnnie Walker,2,Mary Carr,0,4,3000000,Crime|Drama,5,1,1,family relationships|gang|idler|poorhouse|thief,1,,USA,,100000,1.33,4.8
 Black and White,1925,The Big Parade??,226,151,King Vidor,54,John Gilbert,81,Ren??e Ador??e,12,Claire Adams,6,108,,Drama|Romance|War,4849,48,0,chewing gum|climbing a tree|france|translation problems|world war one,45,,USA,Not Rated,245000,1.33,8.3
 Black and White,1927,Metropolis??,12000,145,Fritz Lang,756,Brigitte Helm,136,Gustav Fr??hlich,23,Rudolf Klein-Rogge,18,203,26435,Drama|Sci-Fi,111841,260,1,art deco|bible quote|dance|silent film|worker,413,German,Germany,Not Rated,6000000,1.33,8.3
 Black and White,1929,Pandora's Box??,926,110,Georg Wilhelm Pabst,21,Louise Brooks,426,Francis Lederer,20,Fritz Kortner,3,455,9950,Crime|Drama|Romance,7431,71,1,escape|femme fatale|german expressionism|lust|violence,84,German,Germany,Not Rated,,1.33,8
 Black and White,1929,The Broadway Melody??,167,100,Harry Beaumont,4,Anita Page,77,Bessie Love,28,Charles King,4,109,2808000,Musical|Romance,4546,36,8,sibling rivalry|singer|sister act|whistling|wisecrack humor,71,English,USA,Passed,379000,1.37,6.3
 Black and White,1930,Hell's Angels??,279,96,Howard Hughes,177,Jean Harlow,431,Marian Marsh,12,James Hall,4,457,,Drama|War,3753,35,1,bomb|bombing mission|munitions|oxford|royal flying corps,53,English,USA,Passed,3950000,1.2,7.8
 Black and White,1932,A Farewell to Arms??,213,79,Frank Borzage,57,Gary Cooper,998,Helen Hayes,164,Adolphe Menjou,99,1284,,Drama|Romance|War,3519,42,1,1910s|ambulance driver|italy|lake|nurse,46,English,USA,Unrated,800000,1.37,6.6
 Black and White,1933,42nd Street??,439,89,Lloyd Bacon,24,Ginger Rogers,610,Dick Powell,105,George Brent,45,995,2300000,Comedy|Musical|Romance,7921,65,2,chorus girl|chorus line|director|gala premiere|song,97,English,USA,Unrated,439000,1.37,7.7
 Black and White,1933,She Done Him Wrong??,328,66,Lowell Sherman,16,Mae West,418,Gilbert Roland,85,Louise Beavers,28,583,,Comedy|Drama|History|Musical|Romance,4152,35,1,captain|marriage proposal|saloon|saloon singer|singer,59,English,USA,Approved,200000,1.37,6.5
 Black and White,1934,It Happened One Night??,0,65,Frank Capra,964,Claudette Colbert,380,Alan Hale,114,Walter Connolly,21,540,,Comedy|Romance,64888,124,1,bus|detective|love|money|reporter,235,English,USA,Unrated,325000,1.37,8.2
 Black and White,1935,Top Hat??,1000,81,Mark Sandrich,10,Ginger Rogers,610,Edward Everett Horton,172,Eric Blore,23,824,3000000,Comedy|Musical|Romance,13269,66,2,dance|dancer|dancing|horse|tap dancing,98,English,USA,Approved,609000,1.37,7.8
 Black and White,1936,Modern Times??,0,87,Charles Chaplin,0,Paulette Goddard,309,Stanley Blystone,8,Fred Malatesta,8,352,163245,Comedy|Drama|Family,143086,120,1,actor director writer|invention|machine|music score composed by director|tramp,211,English,USA,G,1500000,1.37,8.6
 Black and White,1936,The Charge of the Light Brigade??,204,100,Michael Curtiz,345,Errol Flynn,843,David Niven,490,Spring Byington,94,1621,,Action|Adventure|Romance|War,3418,24,3,attack|fort|india|lancer|massacre,52,English,USA,Approved,1200000,1.37,7.1
 Black and White,1937,The Prisoner of Zenda??,337,101,John Cromwell,19,David Niven,490,Mary Astor,185,Ronald Colman,135,1166,,Adventure|Drama|Romance,3256,7,2,coronation|fictitious country|king|princess|swashbuckler,44,English,USA,Approved,,1.37,7.8
Color,1937,Snow White and the Seven Dwarfs??,0,83,William Cottrell,0,Adriana Caselotti,82,Billy Gilbert,47,Lucille La Verne,31,229,184925485,Animation|Family|Fantasy|Musical,133348,145,1,dwarf|love|princess|queen|snow white,204,English,USA,Approved,2000000,1.37,7.7
 Black and White,1938,Alexander's Ragtime Band??,60,106,Henry King,85,Tyrone Power,480,Don Ameche,392,John Carradine,300,1833,,Drama|Musical|Romance,1381,10,2,band|dance|ragtime|singer|violinist,29,English,USA,Approved,2000000,1.37,7
 Black and White,1938,You Can't Take It with You??,0,126,Frank Capra,964,Jean Arthur,319,Ann Miller,302,Lionel Barrymore,275,1363,,Comedy|Drama|Romance,17799,51,10,eccentric|friend|house|monopoly|stenographer,133,English,USA,Approved,1644736,1.37,8
Color,1939,Gone with the Wind??,16000,226,Victor Fleming,149,Hattie McDaniel,503,George Reeves,384,Thomas Mitchell,248,1862,198655278,Drama|History|Romance|War,215340,157,1,battle of the sexes|gallantry|honesty|indifference|scandal,706,English,USA,G,3977000,1.37,8.2
 Black and White,1939,The Wizard of Oz??,14000,102,Victor Fleming,149,Margaret Hamilton,695,Terry,421,Billie Burke,357,2509,22202612,Adventure|Family|Fantasy|Musical,291875,213,3,evil witch|tornado|witch|wizard|wizard of oz,533,English,USA,Passed,2800000,1.37,8.1
 Black and White,1939,Mr. Smith Goes to Washington??,0,120,Frank Capra,964,Claude Rains,607,Jean Arthur,319,Thomas Mitchell,248,1573,,Comedy|Drama,77392,96,7,camp|corruption|governor|senate|u.s. senate,245,English,USA,Not Rated,1500000,1.37,8.2
Color,1940,Pinocchio??,0,88,Norman Ferguson,3,Mel Blanc,1000,Dickie Jones,48,Cliff Edwards,40,1178,84300000,Animation|Family|Fantasy|Musical,90360,105,0,boy|conscience|fairy|jiminy cricket|pinocchio,147,English,USA,Approved,2600000,1.37,7.5
Color,1940,Fantasia??,3000,120,James Algar,11,Leopold Stokowski,16,Deems Taylor,0,,,16,76400000,Animation|Family|Fantasy|Music,71321,99,0,apprentice|classical music|disney|mouse|orchestra,230,English,USA,G,2280000,1.37,7.8
 Black and White,1940,Boom Town??,236,119,Jack Conway,6,Hedy Lamarr,1000,Spencer Tracy,760,Claudette Colbert,380,2555,,Adventure|Drama|Romance|Western,2269,12,8,oil|oil field|oil tycoon|partnership|wildcatter,34,English,USA,Passed,1614000,1.37,7.1
 Black and White,1940,Rebecca??,0,130,Alfred Hitchcock,13000,Laurence Olivier,1000,Joan Fontaine,991,George Sanders,333,2888,,Drama|Film-Noir|Mystery|Thriller,87424,144,2,death|estate|housekeeper|love|monte carlo,276,English,USA,Not Rated,1288000,1.37,8.2
 Black and White,1940,The Blue Bird??,548,83,Walter Lang,9,Spring Byington,94,Nigel Bruce,62,Gale Sondergaard,51,293,,Drama|Family|Fantasy,1047,7,1,1800s|bird|blue bird of happiness|foreign language adaptation|past,25,English,USA,Approved,,1.37,6.5
 Black and White,1941,How Green Was My Valley??,0,118,John Ford,673,Roddy McDowall,595,Walter Pidgeon,176,Barry Fitzgerald,137,1129,,Drama|Family,15840,74,5,coal mine|girl|school|village|wales,124,English,USA,Approved,1250000,1.37,7.8
Color,1942,Casablanca??,23000,82,Michael Curtiz,345,Humphrey Bogart,2000,Claude Rains,607,Conrad Veidt,269,3442,,Drama|Romance|War,387508,242,4,american expatriate|casablanca morocco|gestapo|police|visa,1123,English,USA,PG,950000,1.37,8.6
Color,1942,Bambi??,0,70,James Algar,11,Sam Edwards,16,Donnie Dunagan,12,Ann Gillis,8,63,102797150,Animation|Drama|Family,94225,116,0,animal|bambi|deer|forest|hunter,136,English,USA,Approved,,1.33,7.4
 Black and White,1943,A Guy Named Joe??,116,122,Victor Fleming,149,Spencer Tracy,760,Esther Williams,675,Irene Dunne,315,2555,,Drama|Fantasy|Romance|War,1553,9,0,heaven|pilot|teacher|training|world war two,27,English,USA,Passed,2627000,1.37,7
Color,1944,Bathing Beauty??,144,101,George Sidney,24,Esther Williams,675,Basil Rathbone,659,Red Skelton,226,1627,,Comedy|Musical,1079,8,2,college|teacher|theatrical producer|tutu|wedding,28,English,USA,Passed,2361000,1.37,6.5
Color,1945,State Fair??,501,100,Walter Lang,9,Dana Andrews,188,Jeanne Crain,135,Frank McHugh,37,496,,Musical|Romance,2756,17,2,fair|farm|iowa|newspaper|state fair,55,English,USA,Approved,,1.37,7.1
 Black and White,1945,The Valley of Decision??,68,119,Tay Garnett,10,Jessica Tandy,509,Greer Garson,284,Lionel Barrymore,275,1490,,Drama,1314,7,0,immigrant|maid|steel mill|strike|union,29,English,USA,Passed,2160000,1.37,7.5
Color,1945,Spellbound??,0,95,Alfred Hitchcock,13000,Norman Lloyd,472,Rhonda Fleming,239,Leo G. Carroll,82,896,,Film-Noir|Mystery|Romance|Thriller,32927,97,1,amnesia|dream analysis|dream sequence|guilt complex|post traumatic stress disorder,161,English,USA,Unrated,1696377,1.37,7.6
 Black and White,1945,The Lost Weekend??,0,101,Billy Wilder,0,Ray Milland,287,Jane Wyman,160,Frank Faylen,66,581,,Drama|Film-Noir,24959,97,4,addiction|alcoholic|alcoholism|paranoia|suicidal thoughts,136,English,USA,Not Rated,1250000,1.37,8
Color,1946,Duel in the Sun??,403,144,King Vidor,54,Joseph Cotten,469,Lillian Gish,436,Jennifer Jones,332,2037,20400000,Drama|Romance|Western,6304,32,0,box office hit|half breed|infidelity|shooting|texas,87,English,USA,Unrated,8000000,1.37,6.9
Color,1946,It's a Wonderful Life??,41000,118,Frank Capra,964,Donna Reed,488,Lionel Barrymore,275,Thomas Mitchell,248,1844,,Drama|Family|Fantasy|Romance,275720,206,0,angel|bank|guardian angel|second chance|small town life,706,English,USA,PG,3180000,1.37,8.6
 Black and White,1946,The Best Years of Our Lives??,0,172,William Wyler,355,Myrna Loy,749,Teresa Wright,208,Dana Andrews,188,1941,23650000,Drama|Romance|War,40359,97,5,love|pity|readjusting to civilian life|veteran|world war two veteran,235,English,USA,Not Rated,2100000,1.37,8.1
Color,1947,Tycoon??,44,95,Richard Wallace,5,Judith Anderson,197,Paul Fix,116,Laraine Day,100,538,,Adventure|Drama|Romance,989,9,1,engineer|ethics|mountain|railroad|south america,23,English,USA,Approved,3209000,1.37,6.2
 Black and White,1947,Gentleman's Agreement??,0,118,Elia Kazan,603,Dean Stockwell,936,Celeste Holm,297,John Garfield,167,1846,,Drama|Romance,10791,61,3,bigotry|jewish|prejudice|racism|writer,113,English,USA,Approved,2000000,1.37,7.4
 Black and White,1947,The Lady from Shanghai??,0,92,Orson Welles,0,Rita Hayworth,1000,Everett Sloane,29,Ted de Corsia,18,1055,7927,Crime|Drama|Film-Noir|Mystery|Thriller,19236,90,1,law partner|murder|partner|seaman|yacht,175,English,USA,Not Rated,2300000,1.37,7.7
Color,1948,The Pirate??,359,102,Vincente Minnelli,136,Gladys Cooper,89,Reginald Owen,78,Ellen Ross,48,282,2956000,Adventure|Comedy|Musical|Romance,3258,41,0,hoop|horseback riding|love|pirate|singer,54,English,USA,Approved,3700000,1.37,7.1
 Black and White,1948,Red River??,0,126,Howard Hawks,393,Montgomery Clift,862,Walter Brennan,376,Harry Carey Jr.,281,2269,,Action|Adventure|Romance|Western,21316,91,0,cattle|cattle drive|cowboy|kansas|texas,162,English,USA,Approved,3000000,1.37,7.8
 Black and White,1948,Open Secret??,10,68,John Reinhardt,2,Sheldon Leonard,142,John Ireland,86,Arthur O'Connell,75,354,,Crime|Drama,67,1,3,anti semitism|gangster,9,English,USA,Approved,,1.37,7.1
Color,1949,She Wore a Yellow Ribbon??,721,103,John Ford,673,Harry Carey Jr.,281,Ben Johnson,230,Victor McLaglen,89,955,,Western,11920,55,1,captain|cavalry|fort|retirement|yellow ribbon,90,English,USA,Unrated,1600000,1.37,7.4
